web-scraper-order,web-scraper-start-url,name,price,description,image-src
"1585939948-5296","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long Hooded T-shirt","$ 17.99","Black
	
				Dark khaki green",""
"1585939948-5411","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long-sleeved Jersey Shirt","$ 14.99","Pink
	
				White
	
				Light gray melange",""
"1585939948-5039","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Printed Hoodie","$ 34.99","Black/Star Wars",""
"1585939948-5395","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 19.99","White
	
				Dark blue melange
	
				Light khaki green
	
				Light gray melange",""
"1585939948-5046","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Sweatpants","$ 17.99","Dark blue
	
				Light gray melange",""
"1585939948-5424","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed-fit Sweatshirt","$ 24.99","Charcoal gray
	
				Yellow
	
				Beige",""
"1585939948-5126","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Flannel Shirt","$ 24.99","Light brown/dark blue
	
				Yellow/black
	
				Dark gray/black
	
				Beige/plaid",""
"1585939948-5185","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed Fit Linen Pants","$ 34.99","Dark gray
	
				Light beige
	
				Dark blue
	
				Brown",""
"1585939948-5344","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Lyocell Resort Shirt","$ 59.99","Beige",""
"1585939948-5067","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 34.99","White/black
	
				Gray melange/Post Malone
	
				White/Toy Story
	
				Gray melange/Looney Tunes",""
"1585939948-5100","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Sweatshirt","$ 17.99","Black
	
				Dark green
	
				Dark blue",""
"1585939948-5434","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 9.99","Black/paisley-patterned
	
				Dark blue/paisley-patterned",""
"1585939948-5188","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Muscle Fit Piqué Polo Shirt","$ 14.99","Dark blue
	
				White
	
				Burgundy
	
				Black",""
"1585939948-5210","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 29.99","Red/checked
	
				Brown/plaid
	
				Orange/plaid
	
				Blue/plaid",""
"1585939948-5438","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton T-shirt","$ 9.99","Black
	
				White",""
"1585939948-5069","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Linen-blend Shirt","$ 29.99","White
	
				Black
	
				Light blue
	
				Dark blue",""
"1585939948-5246","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton T-shirt","$ 5.99","White
	
				Black
	
				Sage green",""
"1585939948-5341","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 24.99","Dark red/white striped
	
				Light blue/white striped
	
				Green/white striped",""
"1585939948-5084","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Resort Shirt Regular Fit","$ 29.99","Black/striped
	
				Beige/striped",""
"1585939948-5022","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Flannel Shirt","$ 24.99","Light brown/dark blue
	
				Yellow/black
	
				Dark gray/black
	
				Beige/plaid",""
"1585939948-5209","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Oxford Shirt","$ 24.99","Light pink
	
				White
	
				Light blue
	
				Blue",""
"1585939948-5206","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 14.99","Dark blue/patterned
	
				White
	
				Black
	
				Light blue",""
"1585939948-5430","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Cotton Chinos","$ 49.99","Dark blue
	
				Black",""
"1585939948-5271","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Joggers","$ 34.99","White/black checked
	
				Black
	
				Dark gray/pinstriped",""
"1585939948-5159","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Hooded Jacket","$ 24.99","Black
	
				Dark blue melange
	
				Black/white melange
	
				Dark gray",""
"1585939948-5071","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","3-pack Slim Fit T-shirts","$ 24.99","White
	
				Black
	
				Black/gray melange
	
				Light blue/narrow-striped",""
"1585939948-5000","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Patterned T-shirt","$ 14.99","Khaki green/palm trees
	
				Beige/tigers","//lp2.hm.com/hmgoepprod?set=source[/8a/a1/8aa1de82c3b35dcf1e618b7b05c3805cc9057091.jpg],origin[dam],category[],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5255","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Premium Cotton Polo Shirt","$ 24.99","Burgundy/patterned
	
				Dark blue/patterned
	
				Natural white/patterned",""
"1585939948-5094","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 14.99","Dark blue/patterned
	
				White
	
				Black
	
				Light blue",""
"1585939948-5214","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Polo Shirt","$ 14.99","Dark blue/palm trees
	
				White/palm trees
	
				Dark blue/narrow-striped
	
				Taupe/striped",""
"1585939948-5402","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen-blend T-shirt","$ 29.99","Dark blue",""
"1585939948-5253","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton T-shirt","$ 14.99","White/pineapples
	
				White/paisley-patterned
	
				Black/leaf print
	
				Dark blue/white striped",""
"1585939948-5062","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","T-shirt with Printed Design","$ 19.99","Light beige/Post Malone
	
				Light pink/SpongeBob
	
				Light pink/striped",""
"1585939948-5439","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Cotton Shorts","$ 19.99","Brown",""
"1585939948-5085","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatpants with Dropped Gusset","$ 29.99","Black
	
				Dark khaki green",""
"1585939948-5251","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie with Motif","$ 29.99","Yellow/Passion
	
				White/New York
	
				Dark beige/roses
	
				Black/flames",""
"1585939948-5030","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 14.99","Dark blue/patterned
	
				White
	
				Black
	
				Light blue",""
"1585939948-5367","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen-blend Cargo Pants","$ 34.99","Light beige melange
	
				Khaki green
	
				Black",""
"1585939948-5414","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton and Silk T-shirt","$ 24.99","White
	
				Black
	
				Dark blue
	
				Gray melange",""
"1585939948-5081","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Joggers","$ 19.99","Black
	
				Light gray melange
	
				Blue melange",""
"1585939948-5203","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Shorts","$ 12.99","Black
	
				Light pink
	
				Khaki green",""
"1585939948-5391","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Shorts","$ 12.99","Black
	
				Pigeon blue",""
"1585939948-5124","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Chino Shorts","$ 19.99","Dark blue
	
				Khaki green
	
				Beige
	
				Brick red",""
"1585939948-5181","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Polo Shirt","$ 14.99","Dark blue/palm trees
	
				White/palm trees
	
				Dark blue/narrow-striped
	
				Taupe/striped",""
"1585939948-5429","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Patterned Cotton Shirt","$ 17.99","White/skulls
	
				Dark gray/palm trees",""
"1585939948-5133","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 34.99","White/black
	
				Gray melange/Post Malone
	
				White/Toy Story
	
				Gray melange/Looney Tunes",""
"1585939948-5123","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 24.99","Black/white
	
				Light gray melange/white
	
				Black/patterned",""
"1585939948-5399","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Suit Pants","$ 34.99","Black
	
				Gray/pinstriped
	
				Dark blue/chalkstripe
	
				Dark blue",""
"1585939948-5225","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Short-sleeved Shirt","$ 24.99","White/black dotted
	
				Dark blue/white dotted
	
				Burgundy/white dotted",""
"1585939948-5173","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Joggers with Side Stripes","$ 24.99","Black/white
	
				Light gray melange/white
	
				Dark gray melange/white",""
"1585939948-5286","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen-blend Cargo Pants","$ 34.99","Light beige melange
	
				Khaki green
	
				Black",""
"1585939948-5006","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Sweatshorts","$ 12.99","Black
	
				Light gray melange
	
				Light pink
	
				Dark gray","//lp2.hm.com/hmgoepprod?set=source[/77/62/77621624512010663f4dbebc24e44f8651ce98e2.jpg],origin[dam],category[men_shorts_basics],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5262","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Linen-blend Shirt","$ 29.99","White
	
				Black
	
				Light blue
	
				Dark blue",""
"1585939948-5037","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Oxford Shirt","$ 24.99","Light pink
	
				White
	
				Light blue
	
				Blue",""
"1585939948-5055","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Joggers","$ 29.99","Black
	
				Gray melange
	
				Dark gray melange",""
"1585939948-5109","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Skinny Fit Suit Pants","$ 34.99","Dark blue
	
				Black
	
				Light gray melange
	
				Blue melange",""
"1585939948-5103","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Knee-length Cotton Shorts","$ 19.99","Light gray
	
				Dark gray
	
				Light mint green
	
				Dark blue/chambray",""
"1585939948-5337","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Henley Shirt","$ 29.99","Black
	
				White",""
"1585939948-5061","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","3-pack Slim Fit T-shirts","$ 24.99","White
	
				Black
	
				Black/gray melange
	
				Light blue/narrow-striped",""
"1585939948-5308","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long T-shirt","$ 14.99","Dark beige
	
				Black
	
				White
	
				Gray",""
"1585939948-5150","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Reversible Bomber Jacket","$ 49.99","Black/ornamental
	
				Black/patterned",""
"1585939948-5116","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 14.99","Dark blue/patterned
	
				White
	
				Black
	
				Light blue",""
"1585939948-5256","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long T-shirt","$ 14.99","Dark beige
	
				Black
	
				White
	
				Gray",""
"1585939948-5294","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Patterned Muscle Fit T-shirt","$ 14.99","White/black striped
	
				Black/white patterned
	
				White/patterned
	
				Khaki green/leaf print",""
"1585939948-5088","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshorts","$ 17.99","Gray melange/NASA
	
				Dark blue/NASA
	
				Khaki green/palm trees",""
"1585939948-5317","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen Resort Shirt","$ 49.99","Dark blue
	
				Light taupe
	
				Gray-green",""
"1585939948-5212","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed Fit T-shirt","$ 12.99","White
	
				Black
	
				Dark blue/white striped
	
				Dark gray",""
"1585939948-4996","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Skinny Fit Suit Pants","$ 34.99","Dark blue
	
				Black
	
				Light gray melange
	
				Blue melange","//lp2.hm.com/hmgoepprod?set=source[/35/7d/357d3ea5e00aa24ec10319e80e7204c7812278fb.jpg],origin[dam],category[men_trousers_dressed],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5170","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 14.99","Dark blue/patterned
	
				White
	
				Black
	
				Light blue",""
"1585939948-5136","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Polo Shirt","$ 14.99","Dark blue/palm trees
	
				White/palm trees
	
				Dark blue/narrow-striped
	
				Taupe/striped",""
"1585939948-5223","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed Fit Linen Pants","$ 34.99","Dark gray
	
				Light beige
	
				Dark blue
	
				Brown",""
"1585939948-5355","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Linen Shirt","$ 39.99","Dark blue
	
				Light blue melange
	
				White",""
"1585939948-5130","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Hoodie","$ 24.99","Black
	
				Light gray melange
	
				Light pink",""
"1585939948-5289","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Patterned Shirt","$ 24.99","Pink/SpongeBob
	
				Blue/SpongeBob SquarePants
	
				Black/Scarface",""
"1585939948-5259","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Striped Sweatshirt","$ 29.99","Dark blue/yellow striped
	
				Natural white/green striped",""
"1585939948-5017","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshirt","$ 14.99","Black
	
				Light gray melange
	
				White
	
				Dark green",""
"1585939948-5120","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshorts","$ 17.99","Gray melange/NASA
	
				Dark blue/NASA
	
				Khaki green/palm trees",""
"1585939948-5235","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Linen-blend Shirt","$ 29.99","White
	
				Black
	
				Light blue
	
				Dark blue",""
"1585939948-5089","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Twill Joggers","$ 24.99","Dark khaki green/patterned
	
				Black
	
				Taupe
	
				Khaki green",""
"1585939948-5381","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen-blend Shirt","$ 69.99","Beige
	
				White",""
"1585939948-5231","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long Hooded T-shirt","$ 17.99","Black
	
				Dark khaki green",""
"1585939948-5111","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Hooded Jacket","$ 24.99","Black
	
				Dark blue melange
	
				Black/white melange
	
				Dark gray",""
"1585939948-5011","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 24.99","Black
	
				Light gray melange
	
				White
	
				Beige","//lp2.hm.com/hmgoepprod?set=source[/d5/8a/d58afc67e50c69c980af8a80af64dd99efc02e45.jpg],origin[dam],category[men_hoodiessweatshirts_hoodies],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5352","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Coolmax® Polo Shirt","$ 17.99","Black
	
				White
	
				Sage green
	
				Blue melange",""
"1585939948-5382","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton T-shirt","$ 9.99","Black
	
				White",""
"1585939948-5087","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 14.99","Dark blue/patterned
	
				White
	
				Black
	
				Light blue",""
"1585939948-5254","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Henley Shirt","$ 24.99","White
	
				Light blue
	
				Light green melange",""
"1585939948-5298","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen Resort Shirt","$ 49.99","Dark blue
	
				Light taupe
	
				Gray-green",""
"1585939948-5141","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Knee-length Cotton Shorts","$ 19.99","Light gray
	
				Dark gray
	
				Light mint green
	
				Dark blue/chambray",""
"1585939948-5168","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Shirt","$ 24.99","Black
	
				White
	
				Light blue",""
"1585939948-5217","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshirt","$ 14.99","Black
	
				Light gray melange
	
				White
	
				Dark green",""
"1585939948-5373","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Coolmax® Polo Shirt","$ 17.99","Black
	
				White
	
				Sage green
	
				Blue melange",""
"1585939948-5224","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Hooded Jacket","$ 24.99","Black
	
				Dark blue melange
	
				Black/white melange
	
				Dark gray",""
"1585939948-5179","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed-fit Sweatshirt","$ 24.99","Charcoal gray
	
				Yellow
	
				Beige",""
"1585939948-5310","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long T-shirt","$ 14.99","Dark beige
	
				Black
	
				White
	
				Gray",""
"1585939948-5076","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Joggers","$ 34.99","Black
	
				Dark gray melange
	
				Dark beige/plaid
	
				Light gray melange",""
"1585939948-5151","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 24.99","Black/white
	
				Light gray melange/white
	
				Black/patterned",""
"1585939948-5376","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen-blend Pants","$ 24.99","Khaki green
	
				Dark blue",""
"1585939948-5394","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 24.99","Dark red/white striped
	
				Light blue/white striped
	
				Green/white striped",""
"1585939948-5326","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton and Silk T-shirt","$ 24.99","White
	
				Black
	
				Dark blue
	
				Gray melange",""
"1585939948-5032","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie with Graphic Design","$ 34.99","Black/Mickey Mouse
	
				Black/Mickey Mouse",""
"1585939948-5311","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Dropped-gusset Sweatshorts","$ 14.99","Dark blue/floral
	
				Dark khaki green/patterned",""
"1585939948-5319","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Padded Nylon Parka","$ 79.99","Black",""
"1585939948-5437","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen Shirt","$ 59.99","Light blue
	
				White",""
