web-scraper-order,web-scraper-start-url,name,price,description,image-src
"1585939948-5074","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Skinny Fit Blazer","$ 69.99","Dark blue
	
				Black
	
				Light gray melange
	
				Blue melange",""
"1585939948-5315","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Printed Cotton Shirt","$ 24.99","Black/The Simpsons",""
"1585939948-5118","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cargo Joggers","$ 39.99","Dark khaki green
	
				Gray
	
				Beige
	
				Khaki green",""
"1585939948-5390","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Premium Cotton Henley Shirt","$ 39.99","White
	
				Light blue
	
				Dark blue",""
"1585939948-5314","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 17.99","Light blue/chambray
	
				White/dark blue",""
"1585939948-5318","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Floral Shirt","$ 39.99","Black/floral",""
"1585939948-5047","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cargo Joggers","$ 39.99","Dark khaki green
	
				Gray
	
				Beige
	
				Khaki green",""
"1585939948-5363","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Oxford Shirt","$ 24.99","Light pink
	
				White
	
				Light blue
	
				Blue",""
"1585939948-5208","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshirt with Design","$ 24.99","Light gray melange/New York
	
				Black/tiger
	
				Khaki green/dice
	
				Beige/Nothing But The Truth",""
"1585939948-5423","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Linen Shirt","$ 39.99","White
	
				Light blue
	
				Dark blue melange
	
				Black",""
"1585939948-5190","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 17.99","White
	
				Black
	
				Light blue melange
	
				Blue",""
"1585939948-5384","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 17.99","White
	
				Black
	
				Light blue melange
	
				Blue",""
"1585939948-5060","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 34.99","White/black
	
				Gray melange/Post Malone
	
				White/Toy Story
	
				Gray melange/Looney Tunes",""
"1585939948-5345","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Printed Hoodie","$ 24.99","White/New Year",""
"1585939948-5157","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton T-shirt","$ 5.99","White
	
				Black
	
				Sage green",""
"1585939948-5115","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Joggers","$ 39.99","Dark khaki green
	
				Denim blue
	
				Light beige",""
"1585939948-5397","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Oxford Shirt","$ 24.99","Khaki green/checked
	
				Orange/checked",""
"1585939948-5342","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Relaxed Fit Sleeveless Hoodie","$ 17.99","Black
	
				Light beige
	
				Dark khaki green
	
				Gray melange",""
"1585939948-5045","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Hooded Jacket","$ 24.99","Black
	
				Dark blue melange
	
				Black/white melange
	
				Dark gray",""
"1585939948-5048","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Batik-dyed Hoodie","$ 34.99","Yellow/batik-patterned",""
"1585939948-5014","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Joggers","$ 39.99","Dark khaki green
	
				Denim blue
	
				Light beige","//lp2.hm.com/hmgoepprod?set=source[/80/68/806818d7cdc47e37058b01883da5d67fc39c5ff8.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5098","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 34.99","White/black
	
				Gray melange/Post Malone
	
				White/Toy Story
	
				Gray melange/Looney Tunes",""
"1585939948-5161","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long Fit T-shirt","$ 12.99","Black
	
				Gray melange",""
"1585939948-5095","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","T-shirt with Printed Design","$ 19.99","Light beige/Post Malone
	
				Light pink/SpongeBob
	
				Light pink/striped",""
"1585939948-5218","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshorts with Side Stripes","$ 24.99","Light beige/NASA
	
				Black/NASA",""
"1585939948-5122","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Shorts","$ 12.99","Black
	
				Light pink
	
				Khaki green",""
"1585939948-4997","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Skinny Fit Suit Pants","$ 19.99","Black
	
				Dark blue","//lp2.hm.com/hmgoepprod?set=source[/12/d1/12d1aa6c8b8a5fbbb479256846ac7fad5756802f.jpg],origin[dam],category[men_trousers_trousers_skinny_all],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5033","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie with Grosgrain","$ 29.99","Black/Los Angeles
	
				Dark khaki green/Los Angeles",""
"1585939948-5083","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Twill Joggers","$ 24.99","Dark khaki green/patterned
	
				Black
	
				Taupe
	
				Khaki green",""
"1585939948-5198","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cropped Regular Fit Sweatpants","$ 24.99","Dark blue
	
				Black
	
				Dark gray melange",""
"1585939948-5057","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 34.99","White/black
	
				Gray melange/Post Malone
	
				White/Toy Story
	
				Gray melange/Looney Tunes",""
"1585939948-5404","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Jersey Hat","$ 5.99","Dark gray melange
	
				Gray melange",""
"1585939948-5386","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Linen Shirt","$ 39.99","Dark blue
	
				Light blue melange
	
				White",""
"1585939948-5441","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Linen Shirt","$ 39.99","Dark blue
	
				Light blue melange
	
				White",""
"1585939948-5142","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Oxford Shirt","$ 19.99","Charcoal gray
	
				Light blue
	
				Khaki green",""
"1585939948-5172","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Printed Sweatshirt","$ 29.99","Light gray melange/SpongeBob",""
"1585939948-5370","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Sweatshirt","$ 17.99","Black
	
				Dark green
	
				Dark blue",""
"1585939948-5412","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton and Silk T-shirt","$ 24.99","White
	
				Black
	
				Dark blue
	
				Gray melange",""
"1585939948-5043","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Sweatshorts","$ 12.99","Dark beige
	
				Black
	
				Dark gray melange
	
				Light gray melange",""
"1585939948-5241","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","T-shirt with Printed Design","$ 17.99","Dark khaki green/NASA
	
				White/NASA",""
"1585939948-5191","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie with Motif","$ 24.99","Black/Hope & Trust",""
"1585939948-5409","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 24.99","Dark red/white striped
	
				Light blue/white striped
	
				Green/white striped",""
"1585939948-5297","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Printed Hoodie","$ 29.99","Light gray melange/NASA
	
				Gray melange/Treklife
	
				Dark blue/Local
	
				Dark gray/Get the Good",""
"1585939948-5238","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Hoodie","$ 24.99","Black
	
				Light gray melange
	
				White
	
				Beige",""
"1585939948-5374","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 17.99","Light blue/chambray
	
				White/dark blue",""
"1585939948-5266","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton T-shirt","$ 5.99","White
	
				Black
	
				Sage green",""
"1585939948-5175","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Easy-iron Shirt","$ 14.99","Dark blue/patterned
	
				White
	
				Black
	
				Light blue",""
"1585939948-5365","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Oxford Shirt","$ 24.99","Khaki green/checked
	
				Orange/checked",""
"1585939948-5426","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Stretch Shirt","$ 39.99","White
	
				Black
	
				Light blue",""
"1585939948-5330","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cropped Regular Fit Sweatpants","$ 24.99","Dark blue
	
				Black
	
				Dark gray melange",""
"1585939948-5205","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","T-shirt with Printed Design","$ 17.99","Dark khaki green/NASA
	
				White/NASA",""
