web-scraper-order,web-scraper-start-url,name,price,description,image-src
"1585940560-5461","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Suit Vest","$ 24.99","Light blue melange
	
				Black
	
				Dark blue
	
				Black/white checked",""
"1585940560-5455","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Muscle Fit Suit Pants","$ 34.99","Black
	
				Dark gray/checked",""
"1585940560-5479","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Wool Suit Pants","$ 59.99","Black
	
				Dark blue
	
				Light gray melange","//lp2.hm.com/hmgoepprod?set=source[/52/46/524693506df1e7d4c2170e2f19b7c6f286a303ae.jpg],origin[dam],category[men_blazerssuits_trousers],type[DESCRIPTIVESTILLLIFE],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5466","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Blazer","$ 79.99","Gray/pinstriped",""
"1585940560-5481","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Linen-blend Blazer","$ 129.00","Cream","//lp2.hm.com/hmgoepprod?set=source[/37/08/37088501c6532f9b6819f262df92885106f8dff8.jpg],origin[dam],category[men_blazerssuits_blazers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5471","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Premium Cotton Poplin Shirt","$ 39.99","White","//lp2.hm.com/hmgoepprod?set=source[/4c/1b/4c1baa7a5bb8360d8555b0f63e0e52f189d66911.jpg],origin[dam],category[men_shirts_casual],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5480","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Wool Blazer","$ 199.00","Gray melange
	
				Black
	
				Dark blue","//lp2.hm.com/hmgoepprod?set=source[/6e/d6/6ed66594e5b4e221bd9fd5e09a83fdb078741568.jpg],origin[dam],category[men_blazerssuits_blazers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5457","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Suit Pants","$ 49.99","Cream",""
"1585940560-5483","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Suit Pants","$ 39.99","Dark blue","//lp2.hm.com/hmgoepprod?set=source[/ac/6b/ac6beca72a69db0e4bb3a80129e0ea0833879a36.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5482","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Linen-blend Blazer","$ 69.99","Dark blue","//lp2.hm.com/hmgoepprod?set=source[/90/01/90018a82f0ef1a7a8a8cb3efcb97effdd2f9f329.jpg],origin[dam],category[],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5473","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Wool Blazer","$ 199.00","Gray melange
	
				Black
	
				Dark blue","//lp2.hm.com/hmgoepprod?set=source[/43/f5/43f56ed95793352528b35c1e99ad05383d4291aa.jpg],origin[dam],category[men_blazerssuits_blazers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5485","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Skinny Fit Suit Pants","$ 34.99","Blue/chambray","//lp2.hm.com/hmgoepprod?set=source[/d6/63/d663b8c310f6219c6a4c10d181f3375b17f96e08.jpg],origin[dam],category[men_trousers_dressed],type[DESCRIPTIVESTILLLIFE],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5456","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Skinny Fit Blazer","$ 79.99","Dark blue",""
"1585940560-5477","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Wool Blazer","$ 199.00","Black
	
				Dark blue
	
				Light gray melange","//lp2.hm.com/hmgoepprod?set=source[/4a/5f/4a5f172377f2d35159843407aa25296f3efee174.jpg],origin[dam],category[men_blazerssuits_blazers],type[DESCRIPTIVESTILLLIFE],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5450","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Muscle Fit Suit Pants","$ 34.99","Black
	
				Dark gray/checked",""
